ID,Section,Lab-01,Lab-02,Lab-03,Lab-04,Lab-05,Lab-06,Lab-07,Lab-08,Lab-09 (17.5),Lab-10,Best 8,Normalize,Compre quiz(60),Total,Total
2022A3PS0465P,P13N,16.5,17.5,17.5,17.5,17.5,17.5,14,16.5,17.5,17.5,139,139.4982079,35.5,174.998208,175
2022A3PS0476P,P13N,15.5,17.5,17.5,12.5,16.5,17.5,16.5,16.5,17.5,17.5,137,137.4910394,36,173.491039,174
2022A3PS0508P,P13N,15.5,17.5,17,10.5,17.5,17.5,11,16.5,17.5,17.5,136.5,136.9892473,25,161.989247,162
2022A3PS0528P,P13N,17.5,17.5,15.5,17.5,16.5,15,17,0,17.5,17.5,136.5,136.9892473,40,176.989247,177
2022A4PS0806P,P13N,16,17.5,17.5,15.5,17.5,16.5,0,16.5,0,17.5,134.5,134.9820789,38,172.982079,173
2022A4PS0896P,P13N,0,0,17.5,15.5,17.5,17.5,9.5,16.5,17.5,17.5,129,129.4623656,9,138.462366,139
2022A4PS0938P,P13N,16.5,17.5,17.5,17.5,17.5,17.5,5.5,16.5,17.5,17.5,139,139.4982079,33.5,172.998208,173
2022A7PS0056P,P13N,17.5,14.5,17.5,17.5,17.5,16.5,14.5,17.5,17.5,16.5,138,138.4946237,48,186.494624,187
2022A7PS0077P,P13N,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
2022A7PS0106P,P13N,17.5,16.5,0,16.5,0,4.5,0,13.5,17.5,17,103,103.3691756,10.5,113.869176,114
2022A7PS0128P,P13N,17.5,17.5,15.5,17.5,16.5,0,17.5,17.5,17.5,17.5,139,139.4982079,32.5,171.998208,172
2022A7PS0141P,P13N,16.5,15.5,17.5,17.5,17.5,15,15.5,17.5,17.5,0,135,135.483871,46,181.483871,182
2022A8PS0557P,P13N,17.5,17.5,17.5,17.5,16.5,17,16.5,17.5,17.5,17.5,139.5,140,43.5,183.5,184
2022A8PS1253P,P13N,17.5,15.5,14.5,17.5,16,13.5,0,17.5,17.5,16,132,132.4731183,25,157.473118,158
2022AAPS0203P,P13N,17.5,17.5,15.5,17.5,16.5,15.5,17,17.5,5.5,17.5,136.5,136.9892473,42,178.989247,179
2022ABPS0978P,P13N,17.5,0,17.5,17.5,16,0,15.5,17.5,17.5,17.5,136.5,136.9892473,12.5,149.489247,150
2022ABPS1080P,P13N,17.5,17.5,17.5,16.5,17.5,16.5,0,17.5,17.5,5.5,138,138.4946237,28.5,166.994624,167
2022B1PS0707P,P13N,17.5,0,15.5,16.5,0,0,0,17.5,17.5,15,99.5,99.85663082,14,113.856631,114
2022B1PS0886P,P13N,14.5,16,17.5,16,15.5,15.5,13.5,17,17.5,16,131,131.4695341,37.5,168.969534,169
2022B1PS0887P,P13N,14.5,15.5,17.5,17,17.5,15.5,17.5,5.5,17.5,0,132.5,132.9749104,30.5,163.47491,164
2022B1PS0949P,P13N,17.5,14.5,16.5,17,17.5,16.5,15.5,17.5,16.5,0,134.5,134.9820789,38,172.982079,173
2022B1PS1059P,P13N,13,16.5,17.5,14,17,16.5,0,17.5,17.5,16,132.5,132.9749104,39,171.97491,172
2022B1PS1068P,P13N,16.5,16.5,17.5,16,15.5,16,13.5,0,17.5,0,129,129.4623656,7.5,136.962366,137
2022B1PS1097P,P13N,14.5,17.5,16.5,17,15.5,16.5,15.5,17.5,17.5,5.5,133.5,133.9784946,30,163.978495,164
