ID,Mid,T1,T2,T3,T4,T5,Best 4,Tut(80),PCT,Comp(45),Comp(75),Comp,CT(300)
1245P,15,5,10,15,4,15,45,60,75,6,3,9,84
0798P,44,15,15,1,15,8,53,71,115,10,16,26,141
0355P,24,15,10.5,5,6,0,36.5,49,73,15,14,29,102
0716P,5,3,9,5,2,15,32,43,48,3,3,6,54
0377P,17,2,9,1,4,5,20,27,44,12,3,15,59
0938P,23,0,15,15,15,15,60,80,103,14,6,20,123
0165P,56,14,15,12,15,15,59,79,135,29,29,58,193
0975P,18,1,6,6,3,7,22,30,48,0,2,2,50
0209P,16,2,1,5,5,14,26,35,51,3,9,12,63
0458P,46,13,15,9,7,4,44,59,105,9,21,30,135
0185P,9,0,0,0,0,2,2,3,12,8,1,9,21
1565P,23,0,2,4,2,,8,11,34,5,3,8,42
0919P,26,5.5,15,15,14,15,59,79,105,14,11,25,130
1250P,5,0,0,2,0,1,3,4,9,3,1,4,13
0684P,24,3,10,15,13,3,41,55,79,19,14,33,112
1022P,38,10,11,7,4,11,39,52,90,6,7,13,103
0005P,13,5,15,12,4,9,41,55,68,5,6,11,79
0082P,34,10,13,15,15,15,58,78,112,21,12,33,145
0410P,24,7,14,15,15,15,59,79,103,2,4,6,109
1183P,3,6,6,1,1,2,15,20,23,0,0,0,23
0083P,98,10,15,4,4,11,40,54,152,28,38,66,218
0178P,79,15,15,15,15,0,60,80,159,32,32,64,223
0329P,40,2,15,14,15,10,54,72,112,14,7,21,133
0266P,81,15,15,12,4,15,57,76,157,22,8,30,187
0363P,42,15,2,4,5,15,39,52,94,6,6,12,106
0703P,36,6.5,2,14,6,15,41.5,56,92,7,19,26,118
0955P,17,1,15,15,1,15,46,62,79,8,5,13,92
1275P,27,9,15,10,9,15,49,66,93,9,5,14,107
0009P,86,14,15,15,4,15,59,79,165,18,16,34,199
1211P,39,6,15,15,2,0,38,51,90,11,8,19,109
1253P,0,1,9,0,1,0,11,15,15,0,1,1,16
1226P,33,10,15,7,0,7,39,52,85,15,6,21,106
1171P,70,1,6,7,4,15,32,43,113,19,15,34,147
0969P,57,3,7.5,15,1,1,26.5,36,93,15,7,22,115
1184P,11,0,14,6,4,0,24,32,43,0,3,3,46
1568P,27,0,15,0,6,10,31,42,69,12,3,15,84
0445P,12,0,4,6,0,6,16,22,34,3,7,10,44
0092P,0,0,0,0,0,0,0,0,0,0,0,0,0
0622P,56,2,5,6,2,0,15,20,76,17,5,22,98
0500P,10,0,15,0,0,0,15,20,30,0,3,3,33
0077P,0,0,0,0,0,0,0,0,0,0,0,0,0
0143P,2,0,15,9,0,8,32,43,45,0,0,0,45
1075P,45,11,11,8,14,14,50,67,112,14,10,24,136
0314P,17,5,11,11,13,15,50,67,84,8,12,20,104
1615P,15,2,11,0,1,15,29,39,54,4,0,4,58
1278P,40,13,15,15,15,15,60,80,120,25,5,30,150
0583P,15,7,10,11,7,6,35,47,62,16,12,28,90
1238P,51,2,15,15,15,13,58,78,129,23,11,34,163
0210P,56,11,13,12,15,4,51,68,124,17,7,24,148
1454P,3,0,0,0,0,6,6,8,11,4,0,4,15
0235P,16,2,15,0,1,8,26,35,51,8,0,8,59
1199P,4,7,4,3,0,15,29,39,43,6,0,6,49
0593P,21,10,15,10,2,4,39,52,73,3,5,8,81
0806P,31,6,14.5,3,9,13,42.5,57,88,21,13,34,122
0020P,10,1,3,1,0,8,13,18,28,6,2,8,36
0257P,31,1,14,4,1,0,20,27,58,9,1,10,68
1667P,8,2,7,6,6,15,34,46,54,2,0,2,56
1178P,13,2,15,2,4,15,36,48,61,3,1,4,65
0014P,24,2,9,4,4,11,28,38,62,10,5,15,77
0147P,67,10.5,15,15,14,15,59,79,146,44,20,64,210
1576P,23,6,2,3,3,5,17,23,46,9,4,13,59
0450P,49,9,2,0,0,0,11,15,64,15,13,28,92
0781P,29,12,10,1,3,11,36,48,77,12,9,21,98
1598P,5,1,0,3,0,0,4,6,11,8,0,8,19
1203P,28,9,15,15,0,0,39,52,80,17,4,21,101
0539P,49,3,3,3,4,0,13,18,67,21,10,31,98
1240P,20,8,9,15,12,1,44,59,79,14,12,26,105
0128P,56,4,0,0,7,5,16,22,78,24,2,26,104
1225P,38,11,11,15,15,11,52,70,108,11,24,35,143
0258P,27,15,11,9,7,9,44,59,86,14,4,18,104
1214P,30,15,4,15,7,15,52,70,100,15,17,32,132
0254P,15,13,7,15,1,1,36,48,63,9,1,10,73
0660P,12,7,15,0,0,15,37,50,62,5,4,9,71
0016P,35,15,13,5,8,15,51,68,103,8,29,37,140
1222P,15,15,15,15,12,10,57,76,91,19,2,21,112
0093P,58,15,8,15,15,13,58,78,136,33,29,62,198
0250P,0,1,10,0,1,0,12,16,16,6,0,6,22
0019P,5,2,2,3,5,1,12,16,21,6,0,6,27
0572P,25,4.5,2,3,0,1,10.5,14,39,12,8,20,59
0841P,6,15,5,15,4,10,45,60,66,12,9,21,87
1560P,61,10,0,15,14,15,54,72,133,22,5,27,160
1562P,17,5,4,0,0,15,24,32,49,15,3,18,67
0132P,68,11,15,15,6,12,53,71,139,34,31,65,204
0327P,44,14,15,10,1,15,54,72,116,10,6,16,132
0640P,19,6,13,8,6,15,42,56,75,14,6,20,95
0619P,42,15,9,4,15,15,54,72,114,20,10,30,144
1134P,30,12,7,9,2,6,34,46,76,16,7,23,99
1729P,16,0,15,12,6,15,48,64,80,8,8,16,96
0902P,18,2,1,6,6,10,24,32,50,24,2,26,76
1733P,11,2,15,12,0,15,44,59,70,21,3,24,94
1207P,67,11,10,4,5,6,32,43,110,21,20,41,151
0430P,59,5,13,4,4,1,26,35,94,29,15,44,138
1194P,54,15,15,15,0,15,60,80,134,23,25,48,182
0680P,14,3,5,8,1,1,17,23,37,8,5,13,50
0222P,60,15,14,15,15,11,59,79,139,29,24,53,192
0587P,19,3,0,15,12,11,41,55,74,9,15,24,98
0457P,28,0,14,0,2,6,22,30,58,10,4,14,72
1284P,39,4,14,8,2,1,28,38,77,3,4,7,84
1057P,14,0,0,0,0,0,0,0,14,9,2,11,25
1610P,29,0,11,4,5,2,22,30,59,19,7,26,85
1277P,21,7,13.5,6,3,6,32.5,44,65,6,6,12,77
0462P,74,12,15,15,4,15,57,76,150,17,2,19,169
0251P,21,10,9,5,4,5,29,39,60,12,10,22,82
1356P,40,13,6,6,12,4,37,50,90,3,4,7,97
0431P,7,2,15,15,15,13,58,78,85,11,2,13,98
1241P,62,0,15,6,4,11,36,48,110,12,11,23,133
0498P,38,14,13,11,15,13,55,74,112,31,14,45,157
1239P,26,0,15,15,10,11,51,68,94,12,2,14,108
0080P,69,10,14,13,0,11,48,64,133,19,0,19,152
0119P,38,15,15,15,12,15,60,80,118,27,14,41,159
1263P,72,6,1,8,11,4,29,39,111,22,18,40,151
0953P,33,0,12,13,0,0,25,34,67,9,0,9,76
1451P,0,1.5,9.5,0,0,0,11,15,15,9,0,9,24
0564P,39,5,15,15,6,15,51,68,107,18,4,22,129
0323P,62,15,15,15,15,13,60,80,142,27,16,43,185
0096P,80,15,15,4,0,6,40,54,134,28,26,54,188
0511P,4,0,0,0,0,0,0,0,4,0,0,0,4
0403P,1,2,0,0,0,0,2,3,4,5,0,5,9
0558P,54,4,0,15,15,15,49,66,120,15,10,25,145
0567P,42,15,15,15,0,10,55,74,116,5,1,6,122
0144P,53,15,15,8,15,15,60,80,133,29,27,56,189
1104P,44,7,15,15,10,15,55,74,118,10,8,18,136
0483P,49,9,15,15,15,15,60,80,129,27,5,32,161
0110P,17,12,4,10,5,13,40,54,71,12,13,25,96
0420P,33,14,15,12,0,14,55,74,107,12,7,19,126
