ID NO,Pre-compre (120),Compre (80),Post-compre (200)
2022A7PS0190P,74.6,35.0,109.6
2022AAPS0204P,107.4,69.5,176.9
2022A3PS0209P,76.3,42.0,118.3
2022AAPS0252P,71.2,24.0,95.2
2022AAPS0313P,77.1,56.0,133.1
2022AAPS0323P,105.7,68.0,173.7
2022AAPS0326P,82.4,55.5,137.9
2022A3PS0357P,91.0,21.0,112.0
2022AAPS0366P,84.5,53.0,137.5
2022A8PS0397P,92.7,70.0,162.7
2022A3PS0429P,95.7,60.5,156.2
2022A3PS0444P,25.8,0.0,25.8
2022A3PS0456P,93.7,54.0,147.7
2022A4PS0466P,115.9,62.0,177.9
2022A4PS0694P,93.4,39.0,132.4
2022A4PS0725P,54.9,11.0,65.9
2022A4PS0782P,104.4,51.0,155.4
2022A4PS0899P,89.7,55.0,144.7
2022A1PS1043P,80.1,29.0,109.1
2022A1PS1162P,65.7,39.0,104.7
2022A7PS1179P,29.6,10.0,39.6
2022AAPS1192P,97.8,70.0,167.8
2022A3PS1226P,53.9,13.0,66.9
2022A8PS1248P,74.2,26.0,100.2
2022A4PS1281P,108.7,59.0,167.7
2022A1PS1332P,68.9,54.5,123.4
2022A1PS1360P,53.3,15.0,68.3
2022A5PS1443P,60.1,10.0,70.1
2022A5PS1451P,12.8,18.0,30.8
2022A8PS1560P,96.6,45.5,142.1
2022A1PS1568P,99.9,49.0,148.9
2022A1PS1631P,14.6,7.0,21.6
2022A1PS1730P,17.0,6.0,23.0
P11N,,,
2022A3PS0022P,68.7,23.0,91.7
2022A3PS0023P,98.4,69.0,167.4
2022A7PS0076P,81.6,43.0,124.6
2022A7PS0120P,68.9,32.0,100.9
2022A7PS0124P,96.7,39.0,135.7
2022A7PS0174P,100.4,58.0,158.4
2022A7PS0182P,87.0,32.0,119.0
2022AAPS0235P,24.5,17.0,41.5
2022A3PS0265P,93.6,27.0,120.6
2022A3PS0377P,63.8,22.0,85.8
2022A3PS0479P,73.6,17.0,90.6
2022A8PS0511P,3.0,0.0,3.0
2022A1PS0530P,60.4,35.0,95.4
2022A3PS0538P,50.4,29.0,79.4
2022A4PS0546P,73.2,36.0,109.2
2022A8PS0590P,69.1,28.0,97.1
2022A8PS0619P,77.0,53.0,130.0
2022A4PS0624P,78.6,63.0,141.6
2022A4PS0640P,76.8,51.0,127.8
2022A1PS0643P,74.7,64.5,139.2
2022A4PS0684P,72.3,27.0,99.3
2022A4PS0719P,69.0,42.0,111.0
2022A4PS0723P,78.8,15.0,93.8
2022A4PS0871P,32.2,23.0,55.2
2022A1PS0883P,56.6,55.0,111.6
2022A4PS0921P,83.5,57.0,140.5
2022A4PS0953P,40.1,36.0,76.1
2022A1PS1001P,70.0,30.0,100.0
2022A1PS1056P,32.0,24.0,56.0
2022A7PS1175P,76.6,53.0,129.6
2022A7PS1183P,47.9,16.0,63.9
2022A7PS1187P,96.7,53.5,150.2
2022A3PS1207P,95.4,73.0,168.4
2022A8PS1225P,92.3,47.0,139.3
2022A3PS1231P,89.0,60.0,149.0
2022A3PS1233P,66.8,37.0,103.8
2022A8PS1239P,71.6,15.0,86.6
2022A8PS1245P,96.9,47.0,143.9
2022A8PS1249P,86.2,24.0,110.2
2022A4PS1272P,90.4,62.0,152.4
2022A4PS1278P,81.8,40.0,121.8
2022A4PS1301P,90.2,74.0,164.2
2022A1PS1598P,37.8,3.0,40.8
2022A8PS1719P,86.2,45.0,131.2
2022A8PS1720P,77.9,36.5,114.4
2022A1PS0992P,89.1,43.0,132.1
P12N,,,
2022A7PS0054P,87.0,39.0,126.0
2022A7PS0081P,75.9,55.0,130.9
2022A7PS0082P,99.3,32.0,131.3
2022A7PS0109P,67.9,17.0,84.9
2022A7PS0158P,78.3,38.0,116.3
2022A7PS0184P,65.7,48.0,113.7
2022AAPS0249P,73.6,57.0,130.6
2022AAPS0250P,76.8,9.0,85.8
2022A4PS0254P,53.4,25.0,78.4
2022A3PS0380P,79.9,13.5,93.4
2022A3PS0399P,65.6,26.0,91.6
2022A8PS0408P,90.9,62.0,152.9
2022A3PS0410P,87.1,20.0,107.1
2022A3PS0450P,90.4,53.0,143.4
2022A3PS0454P,99.3,45.0,144.3
2022A3PS0458P,98.0,56.0,154.0
2022A4PS0634P,63.3,21.0,84.3
2022A4PS0703P,100.7,39.0,139.7
2022A4PS0843P,86.9,60.0,146.9
2022A4PS0855P,63.3,33.0,96.3
2022A1PS0984P,80.6,17.0,97.6
2022A7PS1174P,104.0,67.0,171.0
2022A7PS1182P,69.4,50.0,119.4
2022A7PS1186P,88.7,24.0,112.7
2022A3PS1230P,67.5,26.0,93.5
2022A8PS1238P,102.2,57.0,159.2
2022A8PS1253P,51.0,11.0,62.0
2022A4PS1291P,87.9,70.0,157.9
2022A1PS1353P,55.5,20.0,75.5
P13N,,,
2022A4PS0015P,87.0,41.5,128.5
2022A4PS0026P,84.0,33.0,117.0
2022A3PS0027P,116.0,63.0,179.0
2022A7PS0031P,90.4,20.0,110.4
2022A7PS0041P,63.2,44.0,107.2
2022A7PS0115P,102.5,45.0,147.5
2022A7PS0138P,97.5,43.0,140.5
2022A7PS0159P,91.5,51.5,143.0
2022A7PS0171P,61.8,38.0,99.8
2022A7PS0172P,110.5,74.5,185.0
2022A7PS0175P,87.0,45.0,132.0
2022A7PS0187P,113.9,72.5,186.4
2022A3PS0221P,112.0,60.0,172.0
2022AAPS0244P,81.5,72.0,153.5
2022A3PS0376P,58.3,41.0,99.3
2022A4PS0449P,88.2,71.5,159.7
2022A3PS0473P,89.8,35.0,124.8
2022A8PS0540P,102.9,64.0,166.9
2022A8PS0566P,102.0,35.0,137.0
2022A1PS0593P,82.0,34.0,116.0
2022A8PS0595P,61.9,26.0,87.9
2022A4PS0673P,74.3,47.0,121.3
2022A4PS0675P,89.3,59.0,148.3
2022A4PS0747P,100.9,37.0,137.9
2022A4PS0902P,80.9,25.0,105.9
2022A1PS1057P,104.5,58.0,162.5
2022A7PS1170P,81.9,42.0,123.9
2022A7PS1171P,82.3,60.0,142.3
2022A7PS1185P,92.9,45.0,137.9
2022A3PS1196P,69.1,22.0,91.1
2022A3PS1198P,97.2,42.0,139.2
2022A3PS1204P,85.9,30.0,115.9
2022A8PS1235P,104.2,70.0,174.2
2022A8PS1236P,75.4,32.0,107.4
2022A8PS1241P,61.7,20.0,81.7
2022A4PS1365P,70.3,33.0,103.3
2022A1PS1578P,84.6,14.0,98.6
2022A1PS1729P,71.2,32.0,103.2
2022A8PS1732P,104.5,72.0,176.5
2022A7PS1733P,95.0,52.0,147.0
2022A3PS1734P,74.4,49.0,123.4
2022A4PS0969P,80.1,31.0,111.1
P14N,,,
2021B5TS2070P,51.5,0.0,51.5
2022A7PS0044P,42.9,30.0,72.9
2022A7PS0051P,26.2,6.0,32.2
2022AAPS0211P,76.8,50.0,126.8
2022AAPS0222P,81.7,40.0,121.7
2022A4PS0223P,51.7,25.5,77.2
2022AAPS0241P,84.3,73.0,157.3
2022AAPS0331P,108.1,55.0,163.1
2022A3PS0457P,70.7,50.0,120.7
2022A3PS0492P,107.6,80.0,187.6
2022A4PS0543P,98.9,43.0,141.9
2022A4PS0868P,96.3,49.5,145.8
2022A4PS0895P,76.9,30.0,106.9
2022A1PS0900P,63.3,37.0,100.3
2022A4PS0941P,86.2,62.0,148.2
2022A4PS0955P,48.4,39.0,87.4
2022A1PS1040P,58.8,52.0,110.8
2022A7PS1169P,59.3,16.0,75.3
2022A7PS1177P,85.7,35.0,120.7
2022A3PS1195P,66.7,50.0,116.7
2022A3PS1197P,62.2,15.0,77.2
2022A3PS1216P,100.2,54.0,154.2
2022A1PS1328P,71.4,42.0,113.4
2022A4PS1563P,104.7,65.0,169.7
2022A1PS1573P,61.7,33.0,94.7
