ID NO,"Eval (Best6) (50)","Midsem(70)","Pre-compre(120)"
2022A7PS0058P,45.0,15,60.0
2022A7PS0118P,49.2,45.5,94.7
2022A7PS0119P,50.0,65,115.0
2022A7PS0137P,49.4,44.5,93.9
2022A7PS0145P,48.9,48.5,97.4
2022A7PS0146P,46.1,27,73.1
2022A7PS0173P,49.2,59,108.2
2022A7PS0189P,22.2,10,32.2
2022AAPS0268P,48.9,35.5,84.4
2022A3PS0329P,50.0,61.5,111.5
2022A4PS0403P,36.4,35,71.4
2022A8PS0462P,50.0,56,106.0
2022A4PS0490P,47.5,32,79.5
2022A4PS0558P,49.2,53,102.2
2022A8PS0567P,50.0,45.5,95.5
2022A8PS0586P,48.6,10,58.6
2022A4PS0615P,35.6,30.5,66.1
2022A4PS0680P,46.1,43,89.1
2022A4PS0702P,34.2,37.5,71.7
2022A4PS0708P,47.2,13,60.2
2022A4PS0738P,41.9,16,57.9
2022A4PS0795P,31.4,18,49.4
2022A4PS0806P,45.3,24.5,69.8
2022A4PS0897P,49.7,49,98.7
2022A1PS0903P,47.8,37,84.8
2022A4PS0926P,41.1,37,78.1
2022A4PS0945P,0.0,16,16.0
2022A4PS0962P,40.6,41,81.6
2022A7PS1168P,45.0,26,71.0
2022A7PS1184P,44.7,25.5,70.2
2022A3PS1194P,50.0,61,111.0
2022A3PS1221P,50.0,68,118.0
2022A8PS1244P,44.4,25,69.4
2022A8PS1250P,43.9,40.5,84.4
2022A8PS1256P,48.1,31,79.1
2022A4PS1293P,47.5,38.5,86.0
2022A1PS1306P,50.0,45,95.0
2022A1PS1316P,22.2,11,33.2
2022A1PS1342P,44.7,21.5,66.2
2022A5PS1448P,30.6,13,43.6
2022A5PS1463P,39.4,14,53.4
2022A1PS1571P,49.7,16,65.7
2022A1PS1610P,47.5,19.5,67.0
2022A1PS1668P,44.4,28.5,72.9
P10N,,,
2021D2TS2083P,14.4,0,14.4
2022A7PS0045P,50.0,50.5,100.5
2022A7PS0047P,49.7,43,92.7
2022A7PS0079P,45.8,22,67.8
2022A7PS0098P,46.1,53.5,99.6
2022A7PS0102P,46.9,44,90.9
2022A7PS0105P,44.2,27.5,71.7
2022A7PS0107P,43.6,31,74.6
2022A7PS0110P,48.9,32.5,81.4
2022A7PS0128P,48.9,37,85.9
2022A7PS0134P,46.1,62.5,108.6
2022A7PS0170P,43.6,24,67.6
2022A7PS0185P,0.0,24,24.0
2022A7PS0190P,48.6,26,74.6
2022AAPS0204P,49.4,58,107.4
2022A3PS0209P,47.8,28.5,76.3
2022AAPS0252P,42.2,29,71.2
2022AAPS0313P,45.6,31.5,77.1
2022AAPS0323P,49.2,56.5,105.7
2022AAPS0326P,46.9,35.5,82.4
2022A3PS0357P,50.0,41,91.0
2022AAPS0366P,50.0,34.5,84.5
2022A3PS0429P,49.7,46,95.7
2022A3PS0444P,10.8,15,25.8
2022A3PS0456P,47.2,46.5,93.7
2022A4PS0466P,49.4,66.5,115.9
2022A4PS0694P,49.4,44,93.4
2022A4PS0725P,28.9,26,54.9
2022A4PS0782P,48.9,55.5,104.4
2022A4PS0899P,49.7,40,89.7
2022A4PS0925P,49.2,24,73.2
2022A1PS1043P,48.1,32,80.1
2022A1PS1162P,46.7,19,65.7
2022A7PS1179P,21.1,8.5,29.6
2022AAPS1192P,48.3,49.5,97.8
2022A3PS1226P,46.9,7,53.9
2022A8PS1248P,47.2,27,74.2
2022A4PS1281P,49.7,59,108.7
2022A1PS1360P,38.3,15,53.3
2022A5PS1443P,38.1,22,60.1
2022A5PS1451P,2.8,10,12.8
2022A8PS1560P,48.1,48.5,96.6
