ID,Midsem (100),T1,T2,T3,T4,T5,Best 4,Tut(80),PCT(180)
0466P,33,9,13.5,15,11,15,54.5,73,106
0037P,10,0,15,2,4,10,31,42,52
1170P,52,13,11,14,0,11,49,66,118
0590P,40,6,8,12,2,15,41,55,95
2011P,0,0,0,0,0,0,0,0,0
0992P,46,4,9,8,3,0,24,32,78
0087P,80,8,15,3,15,4,42,56,136
0965P,13,0,15,2,4,12,33,44,57
1447P,5,0,4,0,1,0,5,7,12
1197P,38,1.5,0,0,1,0,2.5,4,42
0171P,44,4,12,4,4,0,24,32,76
0084P,69,12,14,8,15,15,56,75,144
1104P,44,7,15,15,10,15,55,74,118
1562P,17,5,4,0,0,15,24,32,49
1254P,15,14,,15,5,15,44,59,74
0661P,7,0,0,0,0,8,8,11,18
0406P,33,11,14,10,0,5,40,54,87
0942P,3,8,15,12,12,5,47,63,66
1168P,1,2,11,0,7,15,35,47,48
1223P,19,4,5,10,4,12,31,42,61
1731P,43,2,3,4,10,8,25,34,77
1188P,98,12,15,10,7,11,48,64,162
0394P,20,1,8,8,6,4,26,35,55
0158P,55,13,15,15,15,11,58,78,133
0240P,66,0,15,15,11,15,56,75,141
0116P,75,0,0,0,5,0,5,7,82
0187P,67,12,15,11,15,15,57,76,143
0941P,35,14,8,6,15,11,48,64,99
1195P,13,6,14,11,12,8,45,60,73
0182P,7,7,5,0,4,1,17,23,30
0511P,4,0,0,0,0,0,0,0,4
0184P,26,0.5,0,0,0,6,6.5,9,35
0321P,45,12,13,12,15,12,52,70,115
0792P,28,4,13.5,5,14,8,40.5,54,82
1189P,73,9,14,15,8,11,49,66,139
0051P,0,0,0,0,0,0,0,0,0
0010P,9,8,12,5,1,7,32,43,52
0217P,38,11,0,0,1,0,12,16,54
1278P,40,13,15,15,15,15,60,80,120
0257P,31,1,14,4,1,0,20,27,58
1203P,28,9,15,15,0,0,39,52,80
1295P,27,11,10,7,1,0,29,39,66
0165P,56,14,15,12,15,15,59,79,135
0207P,72,7,15,14,6,3,42,56,128
0244P,58,0,11,15,8,13,47,63,121
0250P,0,1,10,0,1,0,12,16,16
1001P,22,2,10,11,7,15,43,58,80
0587P,19,3,0,15,12,11,41,55,74
0903P,13,12,15,6,8,15,50,67,80
1216P,55,7,14.5,15,2,2,38.5,52,107
0946P,5,1,0,4,3,12,20,27,32
0260P,85,15,15,7,15,13,58,78,163
0702P,20,0,3,4,0,0,7,10,30
1578P,9,1,10,15,2,12,39,52,61
0545P,0,0,0,10,0,0,10,14,14
1256P,25,5,15,15,11,11,52,70,95
0027P,2,0,2,0,0,0,2,3,5
1191P,45,15,15,5,5,1,40,54,99
0843P,40,15,15,15,0,15,60,80,120
0557P,30,5,15,4,7,4,31,42,72
0102P,24,2,15,9,0,13,39,52,76
1057P,14,0,0,0,0,0,0,0,14
0235P,16,2,15,0,1,8,26,35,51
1695P,17,14,5,8,4,15,42,56,73
0538P,36,0,13,4,0,15,32,43,79
0098P,33,0,15,6,15,13,49,66,99
0808P,12,8,8,0,15,15,46,62,74
0871P,17,1,0,0,0,0,1,2,19
0357P,11,15,15,2,4,12,46,62,73
0619P,42,15,9,4,15,15,54,72,114
0252P,11,4,0,4,6,5,19,26,37
0065P,20,15,0,5,5,9,34,46,66
0089P,93,12,14,11,15,6,52,70,163
0479P,42,9,15,8,1,15,47,63,105
0708P,13,0,8,4,0.5,3,15.5,21,34
1199P,4,7,4,3,0,15,29,39,43
0231P,53,15,11,11,12,11,49,66,119
0241P,76,15,15,8,1,12,50,67,143
0175P,72,14,14,14,1,15,57,76,148
0948P,33,7,0,1,1,0,9,12,45
0123P,18,14,10,9,13,15,52,70,88
0086P,56,15,15,15,15,9,60,80,136
0209P,16,2,1,5,5,14,26,35,51
0155P,21,3,0,6,1,0,10,14,35
1172P,0,0,0,0,0,9,9,12,12
0408P,53,1,13,12,13,12,50,67,120
1631P,14,0,0,0,0,0,0,0,14
0431P,7,2,15,15,15,13,58,78,85
0372P,56,12,8,5,15,5,40,54,110
0009P,86,14,15,15,4,15,59,79,165
1667P,8,2,7,6,6,15,34,46,54
0067P,0,0,0,0,0,2,2,3,3
1181P,39,8,15,4,4,1,31,42,81
0719P,32,0,15,5,15,15,50,67,99
1225P,38,11,11,15,15,11,52,70,108
0697P,34,8,15,15,0,12,50,67,101
0924P,11,9,15,10,8,5,42,56,67
0660P,12,7,15,0,0,15,37,50,62
0510P,2,0,0,0,0,0,0,0,2
1448P,2,2,3,3,3,15,24,32,34
0103P,52,3,10,15,10,1,38,51,103
0198P,72,15,14,15,11,15,59,79,151
0456P,47,0,15,9,2,8,34,46,93
0126P,48,0,13,15,5,4,37,50,98
0311P,56,15,10,15,5,15,55,74,130
1568P,27,0,15,0,6,10,31,42,69
0925P,0,0,5,0,11,0,16,22,22
0643P,31,1,15,7,12,15,49,66,97
1231P,40,3,15,0,15,12,45,60,100
0984P,13,1,11,7,5,0,24,32,45
0900P,12,2,8,3,2,1,15,20,32
1322P,32,11,0,2,12,8,33,44,76
1236P,48,11,13,8,4,0,36,48,96
1327P,14,1,1,2,0,3,7,10,24
1281P,41,4,6,0,0,8,18,24,65
1365P,0,0,0,0,4,1,5,7,7
0172P,73,10,15,11,14,7,50,67,140
0210P,56,11,13,12,15,4,51,68,124
1099P,26,0,12,15,4,12,43,58,84
0258P,27,15,11,9,7,9,44,59,86
0694P,37,15,15,15,15,11,60,80,117
1451P,0,1.5,9.5,0,0,0,11,15,15
1253P,0,1,9,0,1,0,11,15,15
0953P,33,0,12,13,0,0,25,34,67
0747P,50,9,15,2,15,15,54,72,122
1615P,15,2,11,0,1,15,29,39,54
1187P,56,15,3,8,12,14,49,66,122
0921P,13,9,15,0,0,10,34,46,59
1241P,62,0,15,6,4,11,36,48,110
1134P,30,12,7,9,2,6,34,46,76
1573P,18,0,4,0,6,15,25,34,52
1248P,26,1,15,15,7,6,43,58,84
1250P,5,0,0,2,0,1,3,4,9
1296P,28,0,13,13,0,2,28,38,66
1454P,3,0,0,0,0,6,6,8,11
0360P,49,0,13,10,4,15,42,56,105
0366P,16,15,12,15,4,9,51,68,84
0121P,5,1,1,1,1,0,4,6,11
0899P,42,14,15,2,4,15,48,64,106
1284P,39,4,14,8,2,1,28,38,77
1720P,15,0,8,15,3,9,35,47,62
0035P,3,5,0,7,12,15,39,52,55
0331P,39,1,15,5,1,13,34,46,85
1198P,69,4,15,2,14,10,43,58,127
0047P,58,5,15,15,4,3,39,52,110
1668P,17,0,15,15,2,0,32,43,60
1666P,26,1,10,15,1,12,38,51,77
1332P,23,2,3,5,11,7,26,35,58
0444P,27,4,0,4,6,0,14,19,46
1204P,80,5,7,8,2,13,33,44,124
0094P,72,10,3,12,11,9,42,56,128
1732P,29,0,15,15,1,15,46,62,91
0007P,14,1,12,0,15,14,42,56,70
1273P,43,0,0,9,0,0,9,12,55
1238P,51,2,15,15,15,13,58,78,129
1597P,33,0,0,0,0,0,0,0,33
0485P,62,0,0,5,1,0,6,8,70
1342P,12,4,14,13,6,0,37,50,62
0669P,31,4,7,0,0,6,17,23,54
0001P,37,12,1,4,12,13,41,55,92
0045P,100,15,14,14,15,14,58,78,178
0093P,58,15,8,15,15,13,58,78,136
1567P,0,0,0,0,0,0,0,0,0
0915P,9,1,0,2,0,0,3,4,13
0033P,10,3,10,12,3,2,28,38,48
1243P,30,10,0,15,2,11,38,51,81
0458P,46,13,15,9,7,4,44,59,105
0111P,61,9,11,15,15,0,50,67,128
0214P,44,0,8,15,11,15,49,66,110
0012P,26,12,15,15,1,15,57,76,102
0142P,32,0,15,15,15,15,60,80,112
0578P,26,8,9,6,3,15,38,51,77
0447P,42,14.5,14.5,0,1,0,30,40,82
1235P,40,11,15,5,15,15,56,75,115
0827P,16,1,11,0,5,0,17,23,39
1175P,86,12,15,15,1,15,57,76,162
1075P,45,11,11,8,14,14,50,67,112
0526P,11,12,10,10,0.5,11,43,58,69
1115P,6,0,15,0,4,0,19,26,32
1340P,25,15,15,15,15,15,60,80,105
0624P,38,0,15,15,0,10,40,54,92
0256P,25,2,9,15,8,15,47,63,88
0381P,3,0,0,2,1,0,3,4,7
0058P,0,0,0,0,0,0,0,0,0
0675P,31,1,8,7,4,12,31,42,73
1279P,17,3,5,14,6,1,28,38,55
0137P,29,12,15,13,13,13,54,72,101
0748P,34,11,15,11,0.5,15,52,70,104
0583P,15,7,10,11,7,6,35,47,62
1328P,34,12,11,15,12,15,54,72,106
0223P,2,0,0,0,0,0,0,0,2
0782P,28,10,15,15,12,0,52,70,98
0118P,76,15,15,15,15,15,60,80,156
0105P,4,5,7,0,1,6,19,26,30
0344P,47,10.5,8.5,3,4,2,26,35,82
0490P,30,2,15,15,4,12,46,62,92
0589P,36,14,5,15,15,15,59,79,115
0125P,23,15,7,12,1,9,43,58,81
0806P,31,6,14.5,3,9,13,42.5,57,88
0300P,6,8,0,12,4,5,29,39,45
0195P,84,0,13,6,0,15,34,46,130
0424P,13,13,11,15,11,15,54,72,85
0418P,93,14,15,15,0,8,52,70,163
0041P,3,11,14,4,0,5,34,46,49
0135P,14,0.5,0,0,0,0,0.5,1,15
0405P,45,1,15,15,5,15,50,67,112
0528P,27,15,15,7,0,15,52,70,97
0347P,15,0,0,0,10,6,16,22,37
1343P,6,2,12,0,4,8,26,35,41
0164P,62,15,15,15,15,15,60,80,142
0375P,20,0,15,8,8,0,31,42,62
1178P,13,2,15,2,4,15,36,48,61
0774P,29,10,15,15,15,10,55,74,103
1180P,27,2,15,15,5,15,50,67,94
1182P,87,15,15,14,15,0,59,79,166
0622P,56,2,5,6,2,0,15,20,76
0079P,6,0,15,10,0,14,39,52,58
0471P,61,15,15,10,15,8,55,74,135
0113P,90,13,15,12,15,15,58,78,168
0232P,67,0,0,2,15,15,32,43,110
1301P,48,3,8,0,3,15,29,39,87
0016P,35,15,13,5,8,15,51,68,103
1186P,62,15,15,9,15,15,60,80,142
0820P,19,8,15,15,4,15,53,71,90
1232P,29,0,0,2,3,8,13,18,47
0028P,15,0,2,0,10,0,12,16,31
0425P,34,3,15,0,15,13,46,62,96
0130P,3,0,7,4,0,1,12,16,19
1733P,11,2,15,12,0,15,44,59,70
1206P,36,3,8,1,9,11,31,42,78
1289P,35,3,7,10,9,12,38,51,86
0484P,52,6,2,14,1,1,23,31,83
1249P,18,1,15,9,6,15,45,60,78
1316P,19,0,2,0,0,0,2,3,22
0148P,8,7,8,2,2,0,19,26,34
0420P,33,14,15,12,0,14,55,74,107
0152P,60,15,15,15,13,6,58,78,138
0680P,14,3,5,8,1,1,17,23,37
0264P,28,7,14,14,6,9,44,59,87
0530P,17,4,1,4,1,7,16,22,39
1149P,30,10,9,3,6,3,28,38,68
0634P,17,0,11,5,9,0,25,34,51
1265P,40,0.5,0,3,2,7,12.5,17,57
0919P,26,5.5,15,15,14,15,59,79,105
0556P,58,12,13,7,15,15,55,74,132
1233P,24,5,12,15,15,15,57,76,100
1240P,20,8,9,15,12,1,44,59,79
0476P,37,2,7,12,0.5,2,23,31,68
1272P,22,12,10,15,3,1,40,54,76
0008P,34,15,15,8,15,15,60,80,114
0106P,0,0,1,2,1,1,5,7,7
0570P,29,13,0,15,15,15,58,78,107
0022P,1,0,11,4,0,11,26,35,36
1040P,24,1,8,4,1,0,14,19,43
1351P,4,0,6,0,11,5,22,30,34
0455P,68,11,7,12,4,11,41,55,123
